document_name,threshold,num_chunks,chunk_index,num_tokens
niosh_safe_3d_printing_2024-103.pdf,90,235,55,9
niosh_safe_3d_printing_2024-103.pdf,90,235,56,118
niosh_safe_3d_printing_2024-103.pdf,90,235,57,2
niosh_safe_3d_printing_2024-103.pdf,90,235,58,13
niosh_safe_3d_printing_2024-103.pdf,90,235,59,74
niosh_safe_3d_printing_2024-103.pdf,90,235,60,2
niosh_safe_3d_printing_2024-103.pdf,90,235,61,12
niosh_safe_3d_printing_2024-103.pdf,90,235,62,92
niosh_safe_3d_printing_2024-103.pdf,90,235,63,12
niosh_safe_3d_printing_2024-103.pdf,90,235,64,68
niosh_safe_3d_printing_2024-103.pdf,90,235,65,2
niosh_safe_3d_printing_2024-103.pdf,90,235,66,10
niosh_safe_3d_printing_2024-103.pdf,90,235,67,92
niosh_safe_3d_printing_2024-103.pdf,90,235,68,2
niosh_safe_3d_printing_2024-103.pdf,90,235,69,13
niosh_safe_3d_printing_2024-103.pdf,90,235,70,96
niosh_safe_3d_printing_2024-103.pdf,90,235,71,2
niosh_safe_3d_printing_2024-103.pdf,90,235,72,12
niosh_safe_3d_printing_2024-103.pdf,90,235,73,90
niosh_safe_3d_printing_2024-103.pdf,90,235,74,2
niosh_safe_3d_printing_2024-103.pdf,90,235,75,10
niosh_safe_3d_printing_2024-103.pdf,90,235,76,96
niosh_safe_3d_printing_2024-103.pdf,90,235,77,2
niosh_safe_3d_printing_2024-103.pdf,90,235,78,11
niosh_safe_3d_printing_2024-103.pdf,90,235,79,92
niosh_safe_3d_printing_2024-103.pdf,90,235,80,2
niosh_safe_3d_printing_2024-103.pdf,90,235,81,11
niosh_safe_3d_printing_2024-103.pdf,90,235,82,80
niosh_safe_3d_printing_2024-103.pdf,90,235,83,44
niosh_safe_3d_printing_2024-103.pdf,90,235,84,88
niosh_safe_3d_printing_2024-103.pdf,90,235,85,12
niosh_safe_3d_printing_2024-103.pdf,90,235,86,86
niosh_safe_3d_printing_2024-103.pdf,90,235,87,10
niosh_safe_3d_printing_2024-103.pdf,90,235,88,104
niosh_safe_3d_printing_2024-103.pdf,90,235,89,9
niosh_safe_3d_printing_2024-103.pdf,90,235,90,122
niosh_safe_3d_printing_2024-103.pdf,90,235,91,16
niosh_safe_3d_printing_2024-103.pdf,90,235,92,90
